Iteration,F1_Score,Time
1,0.5727,153.44
2,0.5563,121.92
3,0.5805,124.4
4,0.5745,123.88
5,0.5701,124.4
6,0.5685,123.6
7,0.5757,124.65
8,0.5741,124.23
9,0.5733,124.12
10,0.5721,123.61
11,0.5743,123.97
12,0.5745,123.58
13,0.5683,123.27
14,0.5751,124.95
15,0.5739,123.97
16,0.5711,123.26
17,0.5757,123.46
18,0.5793,123.14
19,0.5607,122.63
20,0.5785,122.8
21,0.5695,121.93
22,0.5787,123.72
23,0.5747,123.21
24,0.541,119.04
25,0.5727,123.48
26,0.5729,123.56
27,0.5849,122.46
28,0.5775,122.86
29,0.5765,122.96
30,0.5803,122.48
31,0.5753,123.62
32,0.5727,137.21
33,0.5777,123.84
34,0.5729,122.59
35,0.5703,123.1
36,0.5747,122.57
37,0.5771,122.74
38,0.5771,121.77
39,0.5719,121.33
40,0.5769,123.0
41,0.5627,122.68
42,0.5785,122.47
43,0.5755,121.83
44,0.5733,122.78
45,0.5659,122.66
46,0.5711,121.7
47,0.5691,122.41
48,0.5737,122.21
49,0.5761,122.56
50,0.5753,122.18
51,0.5781,121.98
52,0.5739,122.1
53,0.5803,123.15
54,0.5793,121.87
55,0.5761,122.83
56,0.5745,122.23
57,0.5787,121.58
58,0.5819,121.99
59,0.5733,122.68
60,0.5673,123.15
61,0.5779,122.44
62,0.5743,122.71
63,0.5763,122.62
64,0.5701,132.94
65,0.5701,121.62
66,0.5737,124.1
67,0.5619,121.37
68,0.5763,122.12
69,0.5765,122.98
70,0.5669,122.84
71,0.5723,122.18
72,0.5743,122.21
73,0.5783,122.65
74,0.5771,121.9
75,0.5799,122.16
76,0.5709,121.71
77,0.5741,122.75
78,0.5803,137.69
79,0.5741,124.02
80,0.5703,122.35
81,0.5729,122.35
82,0.5767,122.66
83,0.5733,126.78
84,0.5767,121.46
85,0.5797,123.58
86,0.5727,126.37
87,0.5783,137.59
88,0.5553,126.68
89,0.5727,132.76
90,0.5745,132.19
91,0.5671,122.58
92,0.5721,123.82
93,0.5793,122.28
94,0.5741,135.39
95,0.5699,122.96
96,0.5729,122.83
97,0.5755,123.71
98,0.5721,123.05
99,0.5729,122.71
100,0.5749,122.94
