,Repeat,F1_Score,Time
0,1,0.4041,214.159999999999
1,2,0.4235,197.8600000000007
2,3,0.4111,196.1999999999997
3,4,0.4013,195.48999999999936
4,5,0.4205,195.99999999999932
5,6,0.4277,195.54999999999984
6,7,0.4145,192.80999999999932
7,8,0.4247,194.83999999999963
8,9,0.4179,194.57999999999933
9,10,0.4299,196.67000000000039
10,11,0.4329,196.6500000000006
11,12,0.4181,194.32999999999933
12,13,0.4187,195.2399999999994
13,14,0.4265,195.84999999999977
14,15,0.4079,193.0399999999992
15,16,0.4293,195.3699999999995
16,17,0.4229,194.98999999999933
17,18,0.4293,195.42999999999938
18,19,0.4319,194.51999999999953
19,20,0.4357,204.7099999999997
20,21,0.4109,195.7899999999993
21,22,0.4331,194.38999999999936
22,23,0.4269,210.11999999999955
23,24,0.4221,194.2799999999994
24,25,0.4241,194.09999999999926
25,26,0.4239,194.35999999999922
26,27,0.4273,194.6199999999994
27,28,0.4177,193.0299999999993
28,29,0.4193,194.20999999999935
29,30,0.4155,193.45999999999913
30,31,0.4195,195.26999999999944
31,32,0.4155,193.91999999999928
32,33,0.4123,193.96999999999943
33,34,0.4251,194.10999999999927
34,35,0.4065,192.91999999999933
35,36,0.4279,195.3699999999995
36,37,0.4299,195.44999999999973
37,38,0.4289,195.01999999999936
38,39,0.4285,194.74999999999957
39,40,0.4147,194.6699999999992
40,41,0.4097,192.78999999999925
41,42,0.4229,195.0499999999994
42,43,0.4351,194.4599999999993
43,44,0.4147,203.45999999999938
44,45,0.4283,195.61999999999935
45,46,0.4265,194.6599999999993
46,47,0.4213,193.17999999999915
47,48,0.4313,195.56999999999945
48,49,0.4213,194.0599999999992
49,50,0.4269,194.0899999999997
50,51,0.4085,192.75999999999914
51,52,0.4311,195.60999999999945
52,53,0.4183,193.4699999999991
53,54,0.4259,195.25999999999942
54,55,0.4185,192.96999999999932
55,56,0.4257,195.0099999999992
56,57,0.4171,191.84999999999937
57,58,0.4275,194.5199999999993
58,59,0.4161,192.33999999999935
59,60,0.4311,192.5399999999992
60,61,0.4295,193.63999999999947
61,62,0.4201,193.86999999999932
62,63,0.4319,195.5199999999994
63,64,0.4283,205.93999999999915
64,65,0.4161,193.64999999999924
65,66,0.4185,196.61999999999927
66,67,0.4163,192.63999999999936
67,68,0.4245,193.1899999999992
68,69,0.4231,192.5699999999994
69,70,0.4271,194.5099999999993
70,71,0.4193,192.90999999999926
71,72,0.4245,192.68999999999934
72,73,0.4355,194.2899999999994
73,74,0.4075,191.9999999999995
74,75,0.4239,192.35999999999927
75,76,0.4347,193.4799999999991
76,77,0.4111,192.14999999999927
77,78,0.4283,193.21999999999923
78,79,0.4271,193.73999999999924
79,80,0.4227,192.91999999999916
80,81,0.4127,192.43999999999937
81,82,0.4265,192.8199999999994
82,83,0.4283,192.50999999999942
83,84,0.4339,205.24999999999915
84,85,0.4291,193.72999999999922
85,86,0.4203,192.11999999999924
86,87,0.4327,195.96999999999923
87,88,0.4263,193.17999999999918
88,89,0.4233,191.28999999999965
89,90,0.4203,192.8299999999994
90,91,0.4225,191.5699999999993
91,92,0.4311,192.95999999999924
92,93,0.4283,193.29999999999922
93,94,0.4173,191.89999999999932
94,95,0.4105,191.27999999999943
95,96,0.4259,194.7399999999995
96,97,0.4191,193.2299999999992
97,98,0.4257,210.08999999999958
98,99,0.4287,195.01999999999947
99,100,0.4197,195.69999999999962
