Repeat,F1_Score,Time
1,0.5720845845845846,197.24
2,0.5826992858242858,194.83
3,0.5818976428351429,202.58
4,0.5816961191961192,271.62
5,0.5770883864633864,224.4
6,0.5808938746438747,230.65
7,0.5810921498421499,234.32
8,0.576087987025487,238.06
9,0.5762885481635481,243.78
10,0.5816962395087395,252.5
11,0.581695277007777,250.44
12,0.5820960383460383,237.51
13,0.5758885087010087,223.49
14,0.5788931960806961,207.61
15,0.578492915992916,216.72
16,0.5796924328174329,256.09
17,0.5826985639485639,232.69
18,0.5806946369446369,256.29
19,0.5820965195965195,253.81
20,0.5840988825363825,188.41
21,0.5810938342188342,290.47
22,0.5824963184338184,194.64
23,0.5812947562947562,262.15
24,0.580293634981135,219.1
25,0.5800931941556942,237.42
26,0.5738859051359051,213.05
27,0.5824977621852622,243.9
28,0.5832969989219989,230.69
29,0.5758899524524524,212.79
30,0.5734873094248094,209.31
31,0.580295199045199,226.0
32,0.5758879071379072,229.18
33,0.5867017257642259,223.41
34,0.5782904298529299,277.69
35,0.578092274967275,265.26
36,0.579694478131978,241.82
37,0.5842984811734812,248.84
38,0.5838984417109417,233.56
39,0.58189656002156,199.08
40,0.5883029664279664,215.6
41,0.5798941970816971,248.26
42,0.5881021646646647,205.21
43,0.5664774149149149,204.15
44,0.5788923538923539,241.55
45,0.5806918697543698,256.23
46,0.5875030078155078,209.18
47,0.5828958766458766,246.5
48,0.5800954800954801,202.62
49,0.5762883075383075,211.73
50,0.5784908706783707,261.88
51,0.571482058982059,211.69
52,0.581697202009702,243.01
53,0.5842993233618233,188.36
54,0.5818972818972818,267.9
55,0.5814948361823361,247.56
56,0.5778888263263263,237.28
57,0.5832989239239239,234.94
58,0.5804962414337415,246.19
59,0.5804926320551321,239.26
60,0.5848948708323708,261.15
61,0.5806936744436745,242.0
62,0.574486626049126,224.93
63,0.5758894712019712,215.42
64,0.5802918302918304,222.03
65,0.5857015669515669,282.49
66,0.5814979643104644,244.78
67,0.5808961605836606,233.64
68,0.5734867078617079,237.61
69,0.5784907503657503,238.51
70,0.5826954358204358,253.52
71,0.5784917128667129,234.89
72,0.5836989633864634,214.34
73,0.5808941152691153,252.53
74,0.5814950768075767,224.03
75,0.5644744504119504,190.64
76,0.5800958410333411,249.18
77,0.5849016083391083,241.14
78,0.578689988064988,225.3
79,0.5792910699160699,226.06
80,0.5889041685916686,238.19
81,0.5754877473627473,216.33
82,0.5772903913528914,254.57
83,0.5822973213598214,235.79
84,0.5842978796103796,205.47
85,0.5766896704396705,234.36
86,0.5794929544929545,217.54
87,0.5740857443982444,200.05
88,0.5810962404712404,248.0
89,0.5768893893893895,244.74
90,0.5752879081004081,242.8
91,0.5762892700392701,222.2
92,0.5780916734041734,286.4
93,0.5784923144298144,250.93
94,0.5830987237237237,208.3
95,0.5776905511280511,204.28
96,0.5830989643489644,213.03
97,0.5752883893508894,217.93
98,0.5824961981211981,242.31
99,0.5784914722414722,197.04
100,0.5820955570955572,237.32
